country,Sequences
USA,1885
Australia,1301
Brazil,1285
South Africa,845
New Zealand,547
Nigeria,472
Peru,434
Mexico,432
Israel,427
Japan,374
Chile,364
India,364
Indonesia,331
Canada,295
Colombia,290
Thailand,258
Kenya,247
South Korea,233
Germany,230
Singapore,230
Malaysia,228
Sri Lanka,225
France,220
Switzerland,214
Spain,211
Mozambique,207
Italy,205
Belgium,205
Zimbabwe,204
Netherlands,203
Romania,199
United Kingdom,198
Ecuador,196
Poland,193
Bangladesh,192
Costa Rica,191
Sweden,190
Egypt,190
Austria,188
Slovakia,187
Norway,186
Slovenia,186
Argentina,182
Czech Republic,179
Ghana,174
Denmark,173
Turkey,173
Aruba,172
Ireland,170
China,169
Portugal,169
Curacao,167
Russia,166
Finland,161
Luxembourg,157
Rwanda,154
Cyprus,154
Croatia,153
Bosnia and Herzegovina,151
Philippines,151
North Macedonia,148
Lithuania,148
Taiwan,146
Panama,143
Tunisia,143
Uganda,136
United Arab Emirates,131
Hong Kong,131
Cameroon,127
Senegal,126
Iceland,123
Morocco,122
Serbia,121
Bulgaria,119
Zambia,117
Hungary,114
Gambia,111
Cambodia,111
Jordan,102
Latvia,101
Palestine,92
Iran,91
Bahrain,81
Republic of the Congo,80
Ukraine,78
Estonia,75
Botswana,70
Belarus,68
Kosovo,62
Eswatini,61
Saudi Arabia,58
Liechtenstein,58
Guadeloupe,57
Democratic Republic of the Congo,56
Burkina Faso,54
Equatorial Guinea,50
Sint Maarten,49
Côte d'Ivoire,45
Vietnam,45
Oman,45
Pakistan,45
Georgia,44
Greece,44
Uruguay,44
Afghanistan,43
Montenegro,42
Saint Lucia,42
Bonaire,40
Armenia,35
Bermuda,34
Brunei,33
Papua New Guinea,32
Kuwait,32
Myanmar,30
Trinidad and Tobago,29
Lebanon,28
Mauritius,27
Algeria,27
Guatemala,25
Ethiopia,24
Suriname,23
Barbados,23
Azerbaijan,21
Bolivia,20
Mali,19
Dominican Republic,18
Sierra Leone,17
Moldova,17
Monaco,17
Mongolia,16
Benin,15
Nepal,15
Kazakhstan,15
Madagascar,15
Guinea,12
Iraq,11
Malta,11
Belize,9
Saint Martin,9
Gabon,8
Jamaica,8
Venezuela,7
Guam,7
El Salvador,6
Timor-Leste,6
Saint Barthélemy,5
Albania,3
Cuba,2
Andorra,1
